Date,USDINR18DEC70.5CE O,USDINR18DEC70.5CE H,USDINR18DEC70.5CE L,USDINR18DEC70.5CE C,USDINR18DEC70.5CE V
11/30/2018 2:39:00 PM,0.4275,0.4325,0.4275,0.4325,116
11/30/2018 2:38:00 PM,0.4275,0.4275,0.4275,0.4275,0
11/30/2018 2:37:00 PM,0.4275,0.4275,0.4275,0.4275,0
11/30/2018 2:36:00 PM,0.4275,0.4275,0.4275,0.4275,0
11/30/2018 2:35:00 PM,0.4275,0.4275,0.4275,0.4275,100
11/30/2018 2:34:00 PM,0.4275,0.4275,0.4275,0.4275,7
11/30/2018 2:33:00 PM,0.4275,0.4275,0.4275,0.4275,100
11/30/2018 2:32:00 PM,0.4275,0.4275,0.4275,0.4275,0
11/30/2018 2:31:00 PM,0.43,0.43,0.4275,0.4275,342
11/30/2018 2:30:00 PM,0.43,0.43,0.43,0.43,161
11/30/2018 2:29:00 PM,0.4275,0.43,0.4275,0.43,25
11/30/2018 2:28:00 PM,0.425,0.4275,0.425,0.4275,1
11/30/2018 2:27:00 PM,0.425,0.425,0.425,0.425,0
11/30/2018 2:26:00 PM,0.425,0.425,0.425,0.425,50
11/30/2018 2:25:00 PM,0.425,0.425,0.425,0.425,0
11/30/2018 2:24:00 PM,0.425,0.425,0.425,0.425,14
11/30/2018 2:23:00 PM,0.4275,0.4275,0.425,0.425,85
11/30/2018 2:22:00 PM,0.4275,0.4325,0.4275,0.4275,153
11/30/2018 2:21:00 PM,0.4225,0.4275,0.4225,0.4275,25
11/30/2018 2:20:00 PM,0.4275,0.4275,0.4225,0.4225,7
11/30/2018 2:19:00 PM,0.4275,0.4275,0.4275,0.4275,0
11/30/2018 2:18:00 PM,0.42,0.4275,0.42,0.4275,60
11/30/2018 2:17:00 PM,0.415,0.42,0.415,0.42,2
11/30/2018 2:16:00 PM,0.415,0.415,0.415,0.415,0
11/30/2018 2:15:00 PM,0.415,0.415,0.415,0.415,300
11/30/2018 2:14:00 PM,0.42,0.42,0.415,0.415,33
11/30/2018 2:13:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 2:12:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 2:11:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 2:10:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 2:09:00 PM,0.42,0.42,0.42,0.42,0
11/30/2018 2:08:00 PM,0.425,0.425,0.42,0.42,5
11/30/2018 2:07:00 PM,0.425,0.425,0.425,0.425,0
11/30/2018 2:06:00 PM,0.4225,0.425,0.4225,0.425,394
11/30/2018 2:05:00 PM,0.4225,0.4225,0.4225,0.4225,0
11/30/2018 2:04:00 PM,0.4225,0.4225,0.4225,0.4225,0
11/30/2018 2:03:00 PM,0.4225,0.4225,0.4225,0.4225,10
11/30/2018 2:02:00 PM,0.4225,0.4225,0.4225,0.4225,0
11/30/2018 2:01:00 PM,0.4225,0.4225,0.4225,0.4225,0
11/30/2018 2:00:00 PM,0.4225,0.4225,0.4225,0.4225,0
11/30/2018 1:59:00 PM,0.4225,0.4225,0.4225,0.4225,100
11/30/2018 1:58:00 PM,0.415,0.4225,0.415,0.4225,20
11/30/2018 1:57:00 PM,0.415,0.415,0.415,0.415,10
11/30/2018 1:56:00 PM,0.4175,0.4175,0.415,0.415,10
11/30/2018 1:55:00 PM,0.42,0.4225,0.4175,0.4175,55
11/30/2018 1:54:00 PM,0.4225,0.4225,0.42,0.42,50
11/30/2018 1:53:00 PM,0.4225,0.4225,0.4225,0.4225,10
11/30/2018 1:52:00 PM,0.42,0.4225,0.42,0.4225,20
11/30/2018 1:51:00 PM,0.42,0.42,0.42,0.42,10
11/30/2018 1:50:00 PM,0.4175,0.42,0.4175,0.42,10
11/30/2018 1:49:00 PM,0.42,0.42,0.4175,0.4175,1240
11/30/2018 1:48:00 PM,0.425,0.425,0.42,0.42,37
11/30/2018 1:47:00 PM,0.4225,0.425,0.4225,0.425,51
11/30/2018 1:46:00 PM,0.425,0.4275,0.4225,0.4225,190
11/30/2018 1:45:00 PM,0.43,0.43,0.425,0.425,65
11/30/2018 1:44:00 PM,0.4275,0.43,0.425,0.43,415
11/30/2018 1:43:00 PM,0.43,0.43,0.425,0.4275,258
11/30/2018 1:42:00 PM,0.43,0.43,0.43,0.43,0
