Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 8:32:00 PM,178.95,179.1,178.95,179.05,36
11/29/2018 8:31:00 PM,178.85,179,178.85,178.95,39
11/29/2018 8:30:00 PM,178.85,178.9,178.8,178.85,45
11/29/2018 8:29:00 PM,178.75,178.95,178.75,178.85,60
11/29/2018 8:28:00 PM,178.9,178.9,178.75,178.75,21
11/29/2018 8:27:00 PM,178.7,178.9,178.7,178.9,33
11/29/2018 8:26:00 PM,178.7,178.75,178.65,178.7,11
11/29/2018 8:25:00 PM,178.75,178.8,178.7,178.7,17
11/29/2018 8:24:00 PM,178.55,178.8,178.55,178.75,24
11/29/2018 8:23:00 PM,178.45,178.55,178.45,178.55,19
11/29/2018 8:22:00 PM,178.35,178.5,178.35,178.45,31
11/29/2018 8:21:00 PM,178.4,178.5,178.4,178.4,24
11/29/2018 8:20:00 PM,178.45,178.45,178.4,178.4,30
11/29/2018 8:19:00 PM,178.6,178.6,178.15,178.45,136
11/29/2018 8:18:00 PM,178.7,178.7,178.55,178.6,35
11/29/2018 8:17:00 PM,178.6,178.7,178.6,178.7,40
11/29/2018 8:16:00 PM,178.65,178.7,178.6,178.6,16
11/29/2018 8:15:00 PM,178.75,178.75,178.65,178.7,15
11/29/2018 8:14:00 PM,178.85,178.85,178.75,178.75,9
11/29/2018 8:13:00 PM,178.85,178.9,178.85,178.85,7
11/29/2018 8:12:00 PM,178.75,178.9,178.7,178.85,31
11/29/2018 8:11:00 PM,178.8,178.8,178.75,178.75,5
11/29/2018 8:10:00 PM,178.9,178.9,178.75,178.8,6
11/29/2018 8:09:00 PM,179,179,178.85,178.9,22
11/29/2018 8:08:00 PM,178.75,179,178.75,179,23
11/29/2018 8:07:00 PM,178.75,178.85,178.75,178.75,7
11/29/2018 8:06:00 PM,178.8,178.8,178.75,178.75,10
11/29/2018 8:05:00 PM,178.65,178.8,178.65,178.8,22
11/29/2018 8:04:00 PM,178.75,178.75,178.65,178.65,16
11/29/2018 8:03:00 PM,178.8,178.8,178.75,178.75,3
11/29/2018 8:02:00 PM,178.75,178.8,178.7,178.8,11
11/29/2018 8:01:00 PM,178.8,178.85,178.75,178.75,13
11/29/2018 8:00:00 PM,178.85,178.85,178.8,178.8,15
11/29/2018 7:59:00 PM,178.65,178.85,178.65,178.85,16
11/29/2018 7:58:00 PM,178.75,178.8,178.7,178.7,10
11/29/2018 7:57:00 PM,178.8,178.8,178.75,178.75,2
11/29/2018 7:56:00 PM,178.75,178.8,178.75,178.8,3
11/29/2018 7:55:00 PM,178.8,178.8,178.7,178.75,21
11/29/2018 7:54:00 PM,178.95,178.95,178.75,178.8,17
11/29/2018 7:53:00 PM,178.8,178.9,178.75,178.9,19
11/29/2018 7:52:00 PM,178.8,178.8,178.75,178.8,12
11/29/2018 7:51:00 PM,178.85,178.85,178.85,178.85,6
11/29/2018 7:50:00 PM,178.7,178.9,178.7,178.85,28
11/29/2018 7:49:00 PM,178.7,178.7,178.65,178.7,18
11/29/2018 7:48:00 PM,178.7,178.7,178.55,178.6,30
11/29/2018 7:47:00 PM,178.65,178.7,178.6,178.7,9
11/29/2018 7:46:00 PM,178.8,178.8,178.7,178.7,18
11/29/2018 7:45:00 PM,178.8,178.9,178.8,178.85,27
11/29/2018 7:44:00 PM,179,179,178.8,178.8,64
11/29/2018 7:43:00 PM,178.9,179,178.9,179,15
11/29/2018 7:42:00 PM,178.9,178.9,178.8,178.9,8
11/29/2018 7:41:00 PM,178.9,178.95,178.85,178.9,8
11/29/2018 7:40:00 PM,178.9,178.9,178.85,178.9,31
11/29/2018 7:39:00 PM,178.8,178.95,178.8,178.9,9
11/29/2018 7:38:00 PM,178.95,179.05,178.8,178.8,60
11/29/2018 7:37:00 PM,179,179,178.9,178.95,9
11/29/2018 7:36:00 PM,178.85,179.05,178.85,179,54
11/29/2018 7:35:00 PM,178.85,178.85,178.8,178.85,34
11/29/2018 7:34:00 PM,178.8,178.85,178.7,178.85,98
11/29/2018 7:33:00 PM,178.85,178.9,178.65,178.8,68
11/29/2018 7:32:00 PM,179,179.05,178.85,178.85,37
11/29/2018 7:31:00 PM,179.1,179.1,178.95,179,33
11/29/2018 7:30:00 PM,179.3,179.3,179,179.1,43
11/29/2018 7:29:00 PM,179.1,179.3,179.1,179.3,16
11/29/2018 7:28:00 PM,179.25,179.3,179.1,179.1,33
11/29/2018 7:27:00 PM,179.25,179.3,179.2,179.25,22
11/29/2018 7:26:00 PM,179.25,179.3,179.25,179.25,9
11/29/2018 7:25:00 PM,179.25,179.35,179.25,179.25,21
11/29/2018 7:24:00 PM,179.15,179.25,179.15,179.25,12
11/29/2018 7:23:00 PM,179.2,179.2,179.15,179.15,7
11/29/2018 7:22:00 PM,179.2,179.3,179.1,179.2,49
11/29/2018 7:21:00 PM,179.1,179.25,179.1,179.2,15
11/29/2018 7:20:00 PM,179.1,179.15,179.05,179.1,45
11/29/2018 7:19:00 PM,179.2,179.25,179.05,179.1,54
11/29/2018 7:18:00 PM,179.2,179.25,179.1,179.2,83
11/29/2018 7:17:00 PM,179.35,179.35,179.15,179.15,83
11/29/2018 7:16:00 PM,179.4,179.45,179.3,179.35,32
11/29/2018 7:15:00 PM,179.5,179.55,179.35,179.4,90
11/29/2018 7:14:00 PM,179.25,179.6,179.25,179.6,140
11/29/2018 7:13:00 PM,178.85,179.25,178.85,179.25,183
11/29/2018 7:12:00 PM,178.65,178.9,178.65,178.85,40
11/29/2018 7:11:00 PM,178.6,178.65,178.55,178.65,7
11/29/2018 7:10:00 PM,178.65,178.7,178.55,178.6,22
11/29/2018 7:09:00 PM,178.55,178.7,178.55,178.65,12
11/29/2018 7:08:00 PM,178.6,178.6,178.5,178.55,7
11/29/2018 7:07:00 PM,178.6,178.6,178.5,178.6,7
11/29/2018 7:06:00 PM,178.6,178.6,178.55,178.6,2
11/29/2018 7:05:00 PM,178.55,178.6,178.45,178.6,42
11/29/2018 7:04:00 PM,178.65,178.65,178.55,178.55,11
11/29/2018 7:03:00 PM,178.55,178.65,178.55,178.65,10
11/29/2018 7:02:00 PM,178.6,178.6,178.55,178.55,5
11/29/2018 7:01:00 PM,178.65,178.65,178.55,178.6,30
