Date,HDFCBANK18DECFUT O,HDFCBANK18DECFUT H,HDFCBANK18DECFUT L,HDFCBANK18DECFUT C,HDFCBANK18DECFUT V
11/29/2018 10:32:00 AM,2103.15,2103.15,2102.15,2102.15,13250
11/29/2018 10:31:00 AM,2102.65,2103.3,2102.65,2103.15,8500
11/29/2018 10:30:00 AM,2103,2103,2102.55,2102.65,16000
11/29/2018 10:29:00 AM,2103.25,2103.25,2102.95,2103,3750
11/29/2018 10:28:00 AM,2103.5,2103.5,2103.2,2103.25,12000
11/29/2018 10:27:00 AM,2103.6,2103.7,2103.35,2103.5,11750
11/29/2018 10:26:00 AM,2102.8,2103.6,2102.75,2103.6,8750
11/29/2018 10:25:00 AM,2102.75,2103.1,2102.65,2102.8,9250
11/29/2018 10:24:00 AM,2103.1,2103.35,2102.75,2102.75,4000
11/29/2018 10:23:00 AM,2102.85,2103.1,2102.85,2103.1,5500
11/29/2018 10:22:00 AM,2102.4,2102.85,2102.25,2102.85,23750
11/29/2018 10:21:00 AM,2102.6,2102.8,2102.05,2102.05,8250
11/29/2018 10:20:00 AM,2102.5,2102.8,2102.4,2102.6,6750
11/29/2018 10:19:00 AM,2102.15,2102.6,2102.1,2102.2,14750
11/29/2018 10:18:00 AM,2102.6,2102.75,2102.2,2102.2,8250
11/29/2018 10:17:00 AM,2102.55,2102.6,2102.3,2102.6,7250
11/29/2018 10:16:00 AM,2102.7,2103.2,2102.45,2102.55,23750
11/29/2018 10:15:00 AM,2102.35,2103.1,2102.15,2102.7,23000
11/29/2018 10:14:00 AM,2102.2,2102.4,2102.2,2102.35,23500
11/29/2018 10:13:00 AM,2102.2,2102.45,2102.05,2102.2,5000
11/29/2018 10:12:00 AM,2102.65,2102.75,2102.15,2102.2,9500
11/29/2018 10:11:00 AM,2102.35,2102.75,2102.15,2102.65,2500
11/29/2018 10:10:00 AM,2102.35,2102.45,2102.1,2102.45,14250
11/29/2018 10:09:00 AM,2102.35,2102.65,2102.3,2102.35,16000
11/29/2018 10:08:00 AM,2102.8,2103.05,2102.35,2102.35,22750
