Date,INDUSINDBK18DECFUT O,INDUSINDBK18DECFUT H,INDUSINDBK18DECFUT L,INDUSINDBK18DECFUT C,INDUSINDBK18DECFUT V
11/29/2018 11:54:00 AM,1648.2,1648.65,1648.15,1648.5,19500
11/29/2018 11:53:00 AM,1648.7,1648.7,1648.2,1648.2,75000
11/29/2018 11:52:00 AM,1648.65,1648.7,1648.65,1648.7,1800
11/29/2018 11:51:00 AM,1648.25,1648.65,1648.25,1648.65,2100
11/29/2018 11:50:00 AM,1647.7,1648.35,1647.7,1648.25,2400
11/29/2018 11:49:00 AM,1647.75,1648.55,1647.7,1647.7,4200
11/29/2018 11:48:00 AM,1649.15,1649.15,1647.75,1647.75,3000
11/29/2018 11:47:00 AM,1649.25,1649.45,1648.45,1649.15,4500
11/29/2018 11:46:00 AM,1649.55,1650,1649.25,1649.25,1800
11/29/2018 11:45:00 AM,1647.8,1649.55,1647.8,1649.55,13500
11/29/2018 11:44:00 AM,1648.05,1648.45,1647.8,1647.8,2700
11/29/2018 11:43:00 AM,1648.3,1648.3,1648.05,1648.05,900
11/29/2018 11:42:00 AM,1648.1,1648.3,1648,1648.3,1200
11/29/2018 11:41:00 AM,1647.7,1649.35,1647.7,1648.1,4500
11/29/2018 11:40:00 AM,1647.65,1647.7,1646.6,1647.7,5700
11/29/2018 11:39:00 AM,1647.9,1648.4,1647.45,1647.65,2400
11/29/2018 11:38:00 AM,1648.1,1648.3,1647.85,1647.9,1200
11/29/2018 11:37:00 AM,1648.45,1648.45,1648,1648.1,3000
11/29/2018 11:36:00 AM,1648.35,1648.45,1648.3,1648.45,2100
11/29/2018 11:35:00 AM,1648.1,1648.35,1648,1648.35,3300
11/29/2018 11:34:00 AM,1649.05,1649.15,1647.9,1648.1,6000
11/29/2018 11:33:00 AM,1649.45,1649.55,1649.05,1649.05,3600
11/29/2018 11:32:00 AM,1649.15,1649.45,1649.15,1649.45,2700
11/29/2018 11:31:00 AM,1650.35,1650.35,1648.3,1649.15,7800
11/29/2018 11:30:00 AM,1650.05,1650.65,1649.7,1650.35,5100
11/29/2018 11:29:00 AM,1649.55,1650.05,1648.15,1650.05,8400
11/29/2018 11:28:00 AM,1650.55,1650.55,1649.55,1649.55,4500
11/29/2018 11:27:00 AM,1651,1651,1650.55,1650.55,3300
11/29/2018 11:26:00 AM,1650.4,1651.4,1650.3,1651,4800
11/29/2018 11:25:00 AM,1649.2,1650.4,1649.2,1650.4,7800
11/29/2018 11:24:00 AM,1648,1649.8,1647.15,1649.2,8400
11/29/2018 11:23:00 AM,1648.5,1648.5,1647.25,1648,8100
11/29/2018 11:22:00 AM,1647.6,1648.65,1647.6,1648.5,6900
11/29/2018 11:21:00 AM,1648.3,1648.3,1647.6,1647.6,3600
11/29/2018 11:20:00 AM,1647.2,1648.5,1647.05,1648.3,8700
11/29/2018 11:19:00 AM,1648.25,1648.4,1646.55,1647.2,4200
11/29/2018 11:18:00 AM,1647.25,1648.3,1646.1,1648.25,7500
11/29/2018 11:17:00 AM,1644.65,1647.25,1644.65,1647.25,10500
11/29/2018 11:16:00 AM,1644.1,1645.15,1644.1,1644.65,3300
11/29/2018 11:15:00 AM,1646,1646.2,1644.1,1644.1,6900
11/29/2018 11:14:00 AM,1646.95,1647,1646,1646,9000
11/29/2018 11:13:00 AM,1648,1648.5,1646.75,1646.95,9300
11/29/2018 11:12:00 AM,1647.2,1648,1646.2,1648,8700
11/29/2018 11:11:00 AM,1647.3,1647.3,1647.2,1647.2,3000
11/29/2018 11:10:00 AM,1645.85,1647.3,1645.85,1647.3,7800
11/29/2018 11:09:00 AM,1646.85,1646.85,1645.85,1645.85,7500
11/29/2018 11:08:00 AM,1648.1,1648.1,1646.55,1647.1,3000
11/29/2018 11:07:00 AM,1648,1648.55,1647.3,1648.1,8100
11/29/2018 11:06:00 AM,1649.6,1649.6,1648,1648,7200
11/29/2018 11:05:00 AM,1650.7,1650.7,1649.35,1649.35,1800
11/29/2018 11:04:00 AM,1649.65,1650.7,1649.35,1650.7,9300
11/29/2018 11:03:00 AM,1650.05,1650.9,1649.4,1649.65,9900
11/29/2018 11:02:00 AM,1650.2,1650.2,1649.55,1650.05,10200
11/29/2018 11:01:00 AM,1652.5,1652.5,1650.1,1650.1,6300
11/29/2018 11:00:00 AM,1652.45,1652.85,1652,1652.5,8700
11/29/2018 10:59:00 AM,1653.2,1653.2,1651.9,1652.45,7200
11/29/2018 10:58:00 AM,1652.65,1653.2,1651.9,1653.2,8700
11/29/2018 10:57:00 AM,1651.6,1652.9,1651.3,1652.65,12900
11/29/2018 10:56:00 AM,1653.05,1653.65,1651.35,1651.6,8400
11/29/2018 10:55:00 AM,1653.5,1653.7,1653.05,1653.05,6600
11/29/2018 10:54:00 AM,1653.4,1654.5,1653.3,1653.5,6300
11/29/2018 10:53:00 AM,1653.3,1655,1653.3,1653.85,6600
11/29/2018 10:52:00 AM,1653,1653.3,1652.2,1653.3,5400
11/29/2018 10:51:00 AM,1652,1653,1652,1652.95,3600
11/29/2018 10:50:00 AM,1652.9,1653.55,1651.95,1651.95,8700
11/29/2018 10:49:00 AM,1653,1653,1652.9,1652.9,6900
11/29/2018 10:48:00 AM,1653.2,1653.9,1652.1,1653,9000
11/29/2018 10:47:00 AM,1652.4,1653.4,1651.15,1653.2,59400
11/29/2018 10:46:00 AM,1651.55,1652.55,1651.55,1652.4,42000
11/29/2018 10:45:00 AM,1650.5,1651.55,1650.5,1651.55,2700
11/29/2018 10:44:00 AM,1651.25,1651.25,1650.5,1650.5,4200
11/29/2018 10:43:00 AM,1651.4,1651.5,1651.4,1651.5,22500
