Date,PNB18DECFUT O,PNB18DECFUT H,PNB18DECFUT L,PNB18DECFUT C,PNB18DECFUT V
11/29/2018 11:15:00 AM,69.55,69.6,69.55,69.55,220000
11/29/2018 11:14:00 AM,69.5,69.6,69.5,69.55,93500
11/29/2018 11:13:00 AM,69.45,69.5,69.45,69.45,22000
11/29/2018 11:12:00 AM,69.45,69.45,69.45,69.45,44000
11/29/2018 11:11:00 AM,69.45,69.5,69.4,69.45,77000
11/29/2018 11:10:00 AM,69.4,69.5,69.4,69.5,49500
11/29/2018 11:09:00 AM,69.6,69.6,69.45,69.5,60500
11/29/2018 11:08:00 AM,69.6,69.6,69.6,69.6,16500
11/29/2018 11:07:00 AM,69.65,69.65,69.55,69.55,93500
11/29/2018 11:06:00 AM,69.75,69.75,69.65,69.65,49500
11/29/2018 11:05:00 AM,69.75,69.75,69.75,69.75,115500
11/29/2018 11:04:00 AM,69.7,69.7,69.65,69.7,44000
11/29/2018 11:03:00 AM,69.6,69.65,69.55,69.65,148500
11/29/2018 11:02:00 AM,69.5,69.6,69.5,69.6,99000
11/29/2018 11:01:00 AM,69.5,69.55,69.5,69.5,60500
11/29/2018 11:00:00 AM,69.5,69.5,69.5,69.5,22000
11/29/2018 10:59:00 AM,69.55,69.55,69.45,69.5,71500
11/29/2018 10:58:00 AM,69.55,69.55,69.55,69.55,33000
11/29/2018 10:57:00 AM,69.5,69.55,69.5,69.55,176000
11/29/2018 10:56:00 AM,69.35,69.5,69.35,69.5,231000
11/29/2018 10:55:00 AM,69.4,69.4,69.35,69.35,880000
11/29/2018 10:54:00 AM,69.35,69.45,69.35,69.4,38500
11/29/2018 10:53:00 AM,69.45,69.45,69.35,69.4,104500
11/29/2018 10:52:00 AM,69.45,69.45,69.35,69.45,88000
11/29/2018 10:51:00 AM,69.4,69.5,69.4,69.45,66000
11/29/2018 10:50:00 AM,69.5,69.5,69.4,69.4,22000
11/29/2018 10:49:00 AM,69.4,69.5,69.4,69.5,451000
