Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
10/11/2018 9:59:00 AM,71.45,71.65,71.3,71.6,31573
10/11/2018 9:58:00 AM,71.55,71.6,71.4,71.4,26957
10/11/2018 9:57:00 AM,71.6,71.65,71.55,71.6,7688
10/11/2018 9:56:00 AM,71.45,71.6,71.35,71.6,23007
10/11/2018 9:55:00 AM,71.35,71.45,71.25,71.45,15210
10/11/2018 9:54:00 AM,71.3,71.3,71.15,71.25,36959
10/11/2018 9:53:00 AM,71.3,71.35,71.2,71.35,28439
10/11/2018 9:52:00 AM,71.4,71.45,71.15,71.4,90804
10/11/2018 9:51:00 AM,71.75,71.75,71.3,71.55,98393
10/11/2018 9:50:00 AM,71.85,71.85,71.65,71.8,37495
10/11/2018 9:49:00 AM,71.95,71.95,71.75,71.9,28199
10/11/2018 9:48:00 AM,71.85,72,71.85,72,14966
10/11/2018 9:47:00 AM,71.65,71.85,71.6,71.85,21946
10/11/2018 9:46:00 AM,71.6,71.65,71.5,71.65,22965
10/11/2018 9:45:00 AM,71.75,71.8,71.55,71.6,65294
10/11/2018 9:44:00 AM,71.8,71.8,71.7,71.75,23490
10/11/2018 9:43:00 AM,71.7,71.8,71.65,71.8,16419
10/11/2018 9:42:00 AM,71.65,71.7,71.55,71.65,55484
10/11/2018 9:41:00 AM,71.45,71.7,71.35,71.65,42473
10/11/2018 9:40:00 AM,71.6,71.6,71.4,71.45,122757
10/11/2018 9:39:00 AM,71.8,71.85,71.55,71.55,43693
10/11/2018 9:38:00 AM,71.85,71.9,71.8,71.8,11732
10/11/2018 9:37:00 AM,71.95,71.95,71.8,71.85,30859
10/11/2018 9:36:00 AM,71.55,71.9,71.55,71.9,29010
10/11/2018 9:35:00 AM,71.75,71.75,71.6,71.6,44433
10/11/2018 9:34:00 AM,71.75,71.8,71.65,71.75,28023
10/11/2018 9:33:00 AM,71.9,71.9,71.7,71.7,12189
10/11/2018 9:32:00 AM,71.6,71.9,71.5,71.9,46683
10/11/2018 9:31:00 AM,71.85,71.9,71.6,71.6,72614
10/11/2018 9:30:00 AM,72,72.05,71.85,71.85,118995
10/11/2018 9:29:00 AM,72.2,72.2,72,72.1,30016
10/11/2018 9:28:00 AM,72.15,72.35,72.15,72.2,71281
10/11/2018 9:27:00 AM,72.45,72.5,72.15,72.15,66229
10/11/2018 9:26:00 AM,72.2,72.45,72.2,72.45,28185
10/11/2018 9:25:00 AM,72.35,72.4,72.25,72.25,56068
10/11/2018 9:24:00 AM,72.15,72.6,72.1,72.45,111170
10/11/2018 9:23:00 AM,71.9,72.15,71.85,72.15,41226
10/11/2018 9:22:00 AM,71.75,71.95,71.7,71.95,25343
10/11/2018 9:21:00 AM,71.9,71.9,71.6,71.75,68061
10/11/2018 9:20:00 AM,72,72.2,71.9,72.1,52550
10/11/2018 9:19:00 AM,71.6,72.15,71.55,72,138388
10/11/2018 9:18:00 AM,72.1,72.15,71.6,71.65,115579
10/11/2018 9:17:00 AM,71.85,72,71.85,72,90918
10/11/2018 9:16:00 AM,71.45,71.9,71.4,71.9,114578
10/11/2018 9:15:00 AM,71.6,71.7,71.4,71.4,128197
10/10/2018 3:29:00 PM,73.5,73.65,73.45,73.65,30110
10/10/2018 3:28:00 PM,73.7,73.7,73.5,73.6,51370
10/10/2018 3:27:00 PM,73.6,73.75,73.6,73.6,42286
10/10/2018 3:26:00 PM,73.7,73.7,73.6,73.6,30695
10/10/2018 3:25:00 PM,73.9,73.9,73.65,73.65,33037
