Date,USDINR18DEC72CE O,USDINR18DEC72CE H,USDINR18DEC72CE L,USDINR18DEC72CE C,USDINR18DEC72CE V
12/3/2018 12:26:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 12:25:00 PM,0.1375,0.1375,0.135,0.1375,513
12/3/2018 12:24:00 PM,0.135,0.1375,0.135,0.1375,1051
12/3/2018 12:23:00 PM,0.135,0.135,0.135,0.135,155
12/3/2018 12:22:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 12:21:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 12:20:00 PM,0.1325,0.135,0.1325,0.135,50
12/3/2018 12:19:00 PM,0.1325,0.135,0.13,0.1325,510
12/3/2018 12:18:00 PM,0.13,0.1325,0.13,0.1325,15
12/3/2018 12:17:00 PM,0.125,0.13,0.125,0.13,632
12/3/2018 12:16:00 PM,0.12,0.1275,0.12,0.125,1036
12/3/2018 12:15:00 PM,0.1175,0.1175,0.1175,0.1175,590
12/3/2018 12:14:00 PM,0.1175,0.1175,0.1175,0.1175,640
12/3/2018 12:13:00 PM,0.115,0.1175,0.115,0.1175,385
12/3/2018 12:12:00 PM,0.115,0.115,0.115,0.115,100
12/3/2018 12:11:00 PM,0.115,0.115,0.115,0.115,0
12/3/2018 12:10:00 PM,0.115,0.115,0.115,0.115,0
12/3/2018 12:09:00 PM,0.115,0.115,0.115,0.115,2
12/3/2018 12:08:00 PM,0.115,0.115,0.115,0.115,50
12/3/2018 12:07:00 PM,0.115,0.115,0.115,0.115,0
12/3/2018 12:06:00 PM,0.1125,0.115,0.1125,0.115,100
12/3/2018 12:05:00 PM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 12:04:00 PM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 12:03:00 PM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 12:02:00 PM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 12:01:00 PM,0.115,0.115,0.1125,0.1125,30
12/3/2018 12:00:00 PM,0.115,0.115,0.115,0.115,0
12/3/2018 11:59:00 AM,0.115,0.115,0.115,0.115,1078
12/3/2018 11:58:00 AM,0.115,0.115,0.115,0.115,40
12/3/2018 11:57:00 AM,0.115,0.115,0.115,0.115,5
12/3/2018 11:56:00 AM,0.1175,0.1175,0.115,0.115,10
12/3/2018 11:55:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:54:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:53:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:52:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:51:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:50:00 AM,0.1175,0.1175,0.1175,0.1175,11
12/3/2018 11:49:00 AM,0.1175,0.1175,0.1175,0.1175,68
12/3/2018 11:48:00 AM,0.1175,0.1175,0.115,0.1175,1269
12/3/2018 11:47:00 AM,0.1175,0.1175,0.1175,0.1175,12
12/3/2018 11:46:00 AM,0.115,0.1175,0.115,0.1175,19
12/3/2018 11:45:00 AM,0.1175,0.1175,0.115,0.115,226
12/3/2018 11:44:00 AM,0.1175,0.1175,0.1175,0.1175,0
12/3/2018 11:43:00 AM,0.115,0.1175,0.115,0.1175,735
12/3/2018 11:42:00 AM,0.115,0.115,0.115,0.115,383
12/3/2018 11:41:00 AM,0.115,0.115,0.115,0.115,1371
12/3/2018 11:40:00 AM,0.115,0.115,0.115,0.115,479
12/3/2018 11:39:00 AM,0.1125,0.115,0.1125,0.115,1114
12/3/2018 11:38:00 AM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 11:37:00 AM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 11:36:00 AM,0.1125,0.1125,0.1125,0.1125,231
12/3/2018 11:35:00 AM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 11:34:00 AM,0.11,0.1125,0.11,0.1125,48
12/3/2018 11:33:00 AM,0.11,0.11,0.11,0.11,779
12/3/2018 11:32:00 AM,0.11,0.11,0.11,0.11,1707
12/3/2018 11:31:00 AM,0.1125,0.1125,0.11,0.11,162
12/3/2018 11:30:00 AM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 11:29:00 AM,0.1125,0.1125,0.1125,0.1125,0
12/3/2018 11:28:00 AM,0.1125,0.1125,0.1125,0.1125,42
12/3/2018 11:27:00 AM,0.1125,0.1125,0.1125,0.1125,5
12/3/2018 11:26:00 AM,0.11,0.1125,0.11,0.1125,2183
12/3/2018 11:25:00 AM,0.11,0.1125,0.11,0.11,4013
12/3/2018 11:24:00 AM,0.11,0.11,0.11,0.11,3544
12/3/2018 11:23:00 AM,0.11,0.11,0.11,0.11,2138
12/3/2018 11:22:00 AM,0.11,0.11,0.1075,0.11,3618
12/3/2018 11:21:00 AM,0.11,0.11,0.11,0.11,41
12/3/2018 11:20:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:19:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:18:00 AM,0.11,0.11,0.11,0.11,0
