Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
11/22/2018 11:28:00 AM,26239.8,26253.7,26239.5,26252.45,0
11/22/2018 11:27:00 AM,26238.4,26242.8,26237.65,26239.35,0
11/22/2018 11:26:00 AM,26231.1,26239.35,26230.95,26238.15,0
11/22/2018 11:25:00 AM,26237.45,26240.75,26229.45,26232.1,0
11/22/2018 11:24:00 AM,26228.7,26241.05,26227.95,26238.2,0
11/22/2018 11:23:00 AM,26237.9,26243,26227.15,26229.1,0
11/22/2018 11:22:00 AM,26248.2,26252.6,26240.05,26241.45,0
11/22/2018 11:21:00 AM,26248.35,26249.55,26243.35,26248.85,0
11/22/2018 11:20:00 AM,26252,26252,26244.85,26248.35,0
11/22/2018 11:19:00 AM,26251.35,26256.7,26247.8,26251.65,0
11/22/2018 11:18:00 AM,26254.85,26256.2,26250.15,26250.15,0
11/22/2018 11:17:00 AM,26252.05,26257.15,26250.65,26254.05,0
11/22/2018 11:16:00 AM,26247.9,26251.65,26243.95,26251.65,0
11/22/2018 11:15:00 AM,26249.25,26251.65,26246.1,26249.6,0
11/22/2018 11:14:00 AM,26244.05,26249.05,26241.75,26248.65,0
11/22/2018 11:13:00 AM,26240.05,26244.65,26237.05,26243.6,0
11/22/2018 11:12:00 AM,26235.25,26240.95,26234.6,26240.05,0
11/22/2018 11:11:00 AM,26232.85,26235.55,26232.2,26233.15,0
11/22/2018 11:10:00 AM,26234.3,26234.65,26230.05,26233.3,0
11/22/2018 11:09:00 AM,26244.55,26245.45,26232,26232,0
11/22/2018 11:08:00 AM,26243.8,26246,26241.15,26244.3,0
11/22/2018 11:07:00 AM,26246.15,26249.4,26244.65,26244.65,0
11/22/2018 11:06:00 AM,26245.35,26248.35,26244.15,26247.75,0
11/22/2018 11:05:00 AM,26241.25,26246,26237.1,26244.65,0
11/22/2018 11:04:00 AM,26227.8,26241.5,26227.45,26240.2,0
11/22/2018 11:03:00 AM,26225.4,26232.3,26225.1,26228.6,0
11/22/2018 11:02:00 AM,26228.4,26228.45,26222.4,26227,0
11/22/2018 11:01:00 AM,26237.65,26239.6,26227.15,26227.8,0
11/22/2018 11:00:00 AM,26256.55,26256.55,26235.6,26238.7,0
11/22/2018 10:59:00 AM,26265.05,26266.3,26256.1,26257.4,0
11/22/2018 10:58:00 AM,26263.65,26268.65,26260,26266.45,0
11/22/2018 10:57:00 AM,26261.4,26266.25,26261.35,26264.2,0
11/22/2018 10:56:00 AM,26262.6,26265.6,26258,26263.25,0
11/22/2018 10:55:00 AM,26271.9,26273.55,26258.55,26262.25,0
11/22/2018 10:54:00 AM,26262.3,26270.95,26257.55,26270.95,0
11/22/2018 10:53:00 AM,26251.35,26261.75,26244.9,26261,0
11/22/2018 10:52:00 AM,26257.3,26258.05,26246.1,26250.6,0
11/22/2018 10:51:00 AM,26255.35,26259.55,26242,26257.25,0
11/22/2018 10:50:00 AM,26246.6,26256.9,26243.95,26252.2,0
11/22/2018 10:49:00 AM,26255.9,26256.15,26246.3,26249.25,0
11/22/2018 10:48:00 AM,26256.3,26260.65,26252.9,26256.7,0
11/22/2018 10:47:00 AM,26261.05,26262.15,26244.75,26255.15,0
11/22/2018 10:46:00 AM,26255.8,26264.4,26255.5,26260.55,0
11/22/2018 10:45:00 AM,26266.95,26271.4,26251.65,26258.4,0
11/22/2018 10:44:00 AM,26271,26280,26267.1,26271.5,0
11/22/2018 10:43:00 AM,26264.1,26274.25,26262.45,26271.45,0
11/22/2018 10:42:00 AM,26278.75,26283.4,26260,26263.6,0
11/22/2018 10:41:00 AM,26279.9,26281.2,26276.15,26279.5,0
11/22/2018 10:40:00 AM,26279.2,26285.05,26277,26281.7,0
11/22/2018 10:39:00 AM,26279.85,26282.55,26270.8,26281,0
11/22/2018 10:38:00 AM,26288.4,26290.2,26280.6,26280.75,0
11/22/2018 10:37:00 AM,26291.95,26296.45,26290.4,26291.8,0
11/22/2018 10:36:00 AM,26297.7,26299.55,26289.9,26290.6,0
11/22/2018 10:35:00 AM,26292.3,26303.85,26292.1,26300.3,0
11/22/2018 10:34:00 AM,26291.35,26295.75,26290.95,26292.9,0
11/22/2018 10:33:00 AM,26284.4,26291.05,26284.1,26290.6,0
11/22/2018 10:32:00 AM,26282.2,26283.95,26272.1,26283.95,0
11/22/2018 10:31:00 AM,26284.05,26285.4,26280.95,26282.8,0
11/22/2018 10:30:00 AM,26285.55,26286.65,26281.6,26283.65,0
11/22/2018 10:29:00 AM,26286.85,26290.65,26283.45,26287.1,0
11/22/2018 10:28:00 AM,26298.05,26298.05,26285.95,26285.95,0
11/22/2018 10:27:00 AM,26288.35,26297.9,26286.9,26297.9,0
11/22/2018 10:26:00 AM,26294.95,26298.95,26284,26287.15,0
